# Acquisizione Analog Discovery 2
# Timestamp 2024-10-03 09:14:45
# time	ch1	ch2
-5.000000000000000104e-04	-8.993624799603465725e-01	-7.439915842127747814e-03
-4.989999999999999861e-04	-8.773436454359827552e-01	-7.100212131281100417e-03
-4.979999999999999618e-04	-8.570185674134931375e-01	-7.439915842127747814e-03
-4.969999999999999375e-04	-8.363547380906286577e-01	-5.401693577047860829e-03
-4.960000000000000216e-04	-8.167071626688886532e-01	-6.081100998741156491e-03
-4.949999999999999973e-04	-7.967208359467737866e-01	-6.420804709587804755e-03
-4.939999999999999730e-04	-7.740244988216603561e-01	-5.741397287894509094e-03
-4.929999999999999487e-04	-7.557319286014195781e-01	-6.420804709587804755e-03
-4.919999999999999244e-04	-7.357456018793048225e-01	-6.420804709587804755e-03
-4.910000000000000085e-04	-7.140655186553157563e-01	-5.401693577047860829e-03
-4.899999999999999842e-04	-6.950954458343254760e-01	-4.042878733661269507e-03
-4.889999999999999599e-04	-6.737541139107112720e-01	-5.401693577047860829e-03
-4.879999999999999898e-04	-6.527515332874719300e-01	-3.703175022814621242e-03
-4.869999999999999655e-04	-6.344589630672312630e-01	-4.382582444507916904e-03
-4.859999999999999954e-04	-6.151501389458661206e-01	-3.023767601121325581e-03
-4.849999999999999711e-04	-5.934700557218770545e-01	-3.363471311967973412e-03
-4.840000000000000010e-04	-5.734837289997622989e-01	-2.004656468581382089e-03
-4.829999999999999767e-04	-5.551911587795215208e-01	-9.855453360414383798e-04
-4.819999999999999524e-04	-5.331723242551578146e-01	-1.664952757734734041e-03
-4.809999999999999823e-04	-5.152185053352918986e-01	-2.344360179428029919e-03
-4.799999999999999580e-04	-4.938771734116776946e-01	-3.023767601121325581e-03
-4.789999999999999879e-04	-4.738908466895628280e-01	-2.004656468581382089e-03
-4.779999999999999635e-04	-4.528882660663235415e-01	-1.664952757734734041e-03
-4.769999999999999934e-04	-4.345956958460828190e-01	-4.042878733661269507e-03
-4.759999999999999691e-04	-4.118993587209693330e-01	-1.664952757734734041e-03
-4.749999999999999990e-04	-3.932680372003538039e-01	-2.684063890274677750e-03
-4.739999999999999747e-04	-3.736204617786137994e-01	-9.855453360414383798e-04
-4.730000000000000046e-04	-3.516016272542499821e-01	-3.061379143481425557e-04
-4.719999999999999803e-04	-3.333090570340093151e-01	1.052676929038449038e-03
-4.709999999999999560e-04	-3.126452277111447797e-01	-1.325249046888086210e-03
-4.699999999999999859e-04	-2.946914087912789193e-01	7.129732181918010990e-04
-4.689999999999999616e-04	-2.723338229665402954e-01	-1.325249046888086210e-03
-4.679999999999999915e-04	-2.537025014459247663e-01	-6.458416251947904406e-04
-4.669999999999999672e-04	-2.326999208226854521e-01	7.129732181918010990e-04
-4.659999999999999971e-04	-2.106810862983216348e-01	3.732695073451532141e-04
-4.649999999999999728e-04	-1.920497647777061057e-01	7.129732181918010990e-04
-4.640000000000000027e-04	-1.713859354548415981e-01	3.356579649850532920e-05
-4.629999999999999784e-04	-1.513996087327267592e-01	7.129732181918010990e-04
-4.619999999999999541e-04	-1.324295359117364235e-01	1.052676929038449038e-03
-4.609999999999999840e-04	-1.131207117903712256e-01	1.392380639885096869e-03
-4.599999999999999597e-04	-9.381188766900605547e-02	7.129732181918010990e-04
-4.589999999999999896e-04	-7.280930704576671353e-02	2.071788061578392747e-03
-4.579999999999999653e-04	-5.350048292440154341e-02	7.129732181918010990e-04
-4.569999999999999952e-04	-3.148164840003773307e-02	7.129732181918010990e-04
-4.559999999999999709e-04	-9.124062575299098782e-03	1.392380639885096869e-03
-4.550000000000000008e-04	8.152253743817118939e-03	7.129732181918010990e-04
-4.539999999999999765e-04	2.779982916555713210e-02	2.411491772425040578e-03
-4.530000000000000064e-04	4.812490718804680184e-02	2.071788061578392747e-03
-4.519999999999999821e-04	6.709498000903715842e-02	2.071788061578392747e-03
-4.509999999999999578e-04	8.877506323302614133e-02	1.732084350731744700e-03
-4.499999999999999877e-04	1.101163951566402899e-01	1.392380639885096869e-03
-4.489999999999999634e-04	1.267152088750068684e-01	1.392380639885096869e-03
-4.479999999999999933e-04	1.480565407986210169e-01	3.430602904964984070e-03
-4.469999999999999690e-04	1.677041162203610214e-01	2.411491772425040578e-03
-4.459999999999999989e-04	1.904004533454744796e-01	2.751195483271688409e-03
-4.449999999999999746e-04	2.069992670638410581e-01	3.770306615811631901e-03
-4.440000000000000045e-04	2.276630963867055379e-01	3.090899194118336239e-03
-4.429999999999999802e-04	2.503594335118189962e-01	4.110010326658280165e-03
-4.419999999999999559e-04	2.689907550324345253e-01	3.090899194118336239e-03
-4.409999999999999858e-04	2.869445739523003858e-01	4.449714037504927562e-03
-4.399999999999999615e-04	3.082859058759145343e-01	3.090899194118336239e-03
-4.389999999999999914e-04	3.259009734954055881e-01	1.392380639885096869e-03
-4.379999999999999671e-04	3.469035541186449301e-01	2.751195483271688409e-03
-4.369999999999999970e-04	3.695998912437584161e-01	3.430602904964984070e-03
-4.359999999999999726e-04	3.861987049621249390e-01	3.090899194118336239e-03
-4.350000000000000026e-04	4.075400368857390876e-01	2.751195483271688409e-03
-4.339999999999999782e-04	4.292201201097280983e-01	5.468825170044871488e-03
-4.329999999999999539e-04	4.485289442310932961e-01	4.449714037504927562e-03
-4.319999999999999838e-04	4.688540222535829138e-01	4.449714037504927562e-03
-4.309999999999999595e-04	4.888403489756977804e-01	2.751195483271688409e-03
-4.299999999999999894e-04	5.064554165951887788e-01	3.770306615811631901e-03
-4.289999999999999651e-04	5.277967485188028718e-01	4.110010326658280165e-03
-4.279999999999999950e-04	5.481218265412926005e-01	3.430602904964984070e-03
-4.269999999999999707e-04	5.681081532634074671e-01	4.789417748351575826e-03
-4.260000000000000006e-04	5.904657390881460355e-01	5.129121459198223223e-03
-4.249999999999999763e-04	6.077420554072623382e-01	4.789417748351575826e-03
-4.240000000000000062e-04	6.267121282282526185e-01	4.449714037504927562e-03
-4.229999999999999819e-04	6.473759575511170983e-01	4.110010326658280165e-03
-4.219999999999999576e-04	6.693947920754809155e-01	4.789417748351575826e-03
-4.209999999999999875e-04	6.883648648964713068e-01	4.449714037504927562e-03
-4.199999999999999632e-04	7.066574351167119739e-01	3.770306615811631901e-03
-4.189999999999999931e-04	7.283375183407009290e-01	4.449714037504927562e-03
-4.179999999999999688e-04	7.486625963631906577e-01	4.110010326658280165e-03
-4.169999999999999987e-04	7.686489230853055243e-01	5.129121459198223223e-03
-4.159999999999999744e-04	7.859252394044217160e-01	4.789417748351575826e-03
-4.150000000000000043e-04	8.072665713280358091e-01	4.449714037504927562e-03
-4.139999999999999800e-04	8.286079032516500131e-01	6.148232591738167149e-03
-4.129999999999999557e-04	8.502879864756389683e-01	4.789417748351575826e-03
-4.119999999999999856e-04	8.648542923917565961e-01	4.449714037504927562e-03
-4.109999999999999613e-04	8.855181217146210759e-01	6.487936302584815414e-03
-4.099999999999999912e-04	9.078757075393597553e-01	4.110010326658280165e-03
-4.089999999999999669e-04	9.261682777596004223e-01	5.808528880891519752e-03
-4.079999999999999968e-04	9.475096096832145154e-01	5.468825170044871488e-03
-4.069999999999999725e-04	9.674959364053293820e-01	4.110010326658280165e-03
-4.060000000000000024e-04	9.871435118270693865e-01	4.789417748351575826e-03
-4.049999999999999781e-04	-1.000649118772420021e+00	-8.798730685514339137e-03
-4.040000000000000080e-04	-9.908253310615501297e-01	-1.049724923974757959e-02
-4.029999999999999837e-04	-9.623702218300645983e-01	-7.779619552974395211e-03
-4.019999999999999594e-04	-9.423838951079497317e-01	-1.015754552890093046e-02
-4.009999999999999893e-04	-9.183325527813369638e-01	-1.015754552890093046e-02
-3.999999999999999650e-04	-8.956362156562235333e-01	-7.100212131281100417e-03
-3.989999999999999949e-04	-8.780211480367324794e-01	-7.100212131281100417e-03
-3.979999999999999706e-04	-8.553248109116190490e-01	-7.779619552974395211e-03
-3.970000000000000005e-04	-8.356772354898789334e-01	-6.420804709587804755e-03
-3.959999999999999762e-04	-8.139971522658899783e-01	-6.760508420434452152e-03
-3.950000000000000061e-04	-7.946883281445248359e-01	-6.081100998741156491e-03
-3.939999999999999817e-04	-7.747020014224099693e-01	-6.081100998741156491e-03
-3.929999999999999574e-04	-7.581031877040433908e-01	-5.741397287894509094e-03
-3.919999999999999873e-04	-7.354068505789299603e-01	-5.401693577047860829e-03
-3.909999999999999630e-04	-7.154205238568150937e-01	-5.401693577047860829e-03
-3.899999999999999929e-04	-6.934016893324512765e-01	-4.382582444507916904e-03
-3.889999999999999686e-04	-6.737541139107112720e-01	-5.061989866201212565e-03
-3.879999999999999985e-04	-6.530902845878467922e-01	-5.401693577047860829e-03
-3.869999999999999742e-04	-6.358139682687306005e-01	-5.061989866201212565e-03
-3.860000000000000041e-04	-6.144726363451163964e-01	-5.741397287894509094e-03
-3.849999999999999798e-04	-5.924538018207525791e-01	-5.741397287894509094e-03
-3.840000000000000097e-04	-5.728062263990125746e-01	-3.023767601121325581e-03
-3.829999999999999854e-04	-5.518036457757733437e-01	-4.382582444507916904e-03
-3.819999999999999611e-04	-5.318173190536584771e-01	-3.023767601121325581e-03
-3.809999999999999910e-04	-5.131859975330429480e-01	-3.023767601121325581e-03
-3.799999999999999667e-04	-4.921834169098035505e-01	-2.344360179428029919e-03
-3.789999999999999966e-04	-4.718583388873138773e-01	-2.684063890274677750e-03
-3.779999999999999723e-04	-4.522107634655738728e-01	-3.023767601121325581e-03
-3.770000000000000022e-04	-4.325631880438338683e-01	-4.042878733661269507e-03
-3.759999999999999779e-04	-4.115606074205945264e-01	-2.004656468581382089e-03
-3.750000000000000078e-04	-3.959780476033524232e-01	-2.684063890274677750e-03
-3.739999999999999835e-04	-3.719267052767396553e-01	-2.004656468581382089e-03
-3.729999999999999592e-04	-3.549891402579982702e-01	-2.004656468581382089e-03
-3.719999999999999891e-04	-3.322928031328848397e-01	-1.664952757734734041e-03
-3.709999999999999648e-04	-3.140002329126441172e-01	-9.855453360414383798e-04
-3.699999999999999947e-04	-2.913038957875306312e-01	-1.664952757734734041e-03
-3.689999999999999704e-04	-2.730113255672899641e-01	-2.344360179428029919e-03
-3.680000000000000003e-04	-2.516699936436758156e-01	-9.855453360414383798e-04
-3.669999999999999760e-04	-2.347324286249344027e-01	-2.004656468581382089e-03
-3.660000000000000059e-04	-2.127135941005706132e-01	3.732695073451532141e-04
-3.649999999999999816e-04	-1.940822725799550841e-01	-3.061379143481425557e-04
-3.639999999999999573e-04	-1.751121997589647206e-01	-1.325249046888086210e-03
-3.629999999999999872e-04	-1.510608574323519526e-01	-1.325249046888086210e-03
-3.619999999999999629e-04	-1.317520333109867547e-01	3.356579649850532920e-05
-3.609999999999999928e-04	-1.127819604899964190e-01	-1.325249046888086210e-03
-3.599999999999999685e-04	-9.211813116713191141e-02	3.356579649850532920e-05
-3.589999999999999984e-04	-7.280930704576671353e-02	-1.325249046888086210e-03
-3.579999999999999741e-04	-5.180672642252739934e-02	-9.855453360414383798e-04
-3.570000000000000040e-04	-2.944914059778876853e-02	-6.458416251947904406e-04
-3.559999999999999797e-04	-1.285032687942220392e-02	-9.855453360414383798e-04
-3.550000000000000096e-04	7.135999842692635799e-03	7.129732181918010990e-04
-3.539999999999999853e-04	2.813858046593195952e-02	3.090899194118336239e-03
-3.529999999999999609e-04	4.744740458729714699e-02	1.052676929038449038e-03
-3.519999999999999908e-04	6.777248260978679939e-02	1.052676929038449038e-03
-3.509999999999999665e-04	8.911381453340097569e-02	1.392380639885096869e-03
-3.499999999999999964e-04	1.094388925558906211e-01	1.392380639885096869e-03
-3.489999999999999721e-04	1.294252192780054878e-01	1.052676929038449038e-03
-3.480000000000000020e-04	1.487340433993706579e-01	1.392380639885096869e-03
-3.469999999999999777e-04	1.683816188211106901e-01	1.732084350731744700e-03
-3.460000000000000076e-04	1.873516916421010259e-01	1.392380639885096869e-03
-3.449999999999999833e-04	2.076767696645906991e-01	7.129732181918010990e-04
-3.439999999999999590e-04	2.286793502878300133e-01	2.071788061578392747e-03
-3.429999999999999889e-04	2.476494231088203768e-01	3.732695073451532141e-04
-3.419999999999999646e-04	2.642482368271869553e-01	1.392380639885096869e-03
-3.409999999999999945e-04	2.906708382564235360e-01	3.090899194118336239e-03
-3.399999999999999702e-04	3.103184136781635405e-01	1.392380639885096869e-03
-3.390000000000000001e-04	3.292884864991538763e-01	2.071788061578392747e-03
-3.379999999999999758e-04	3.479198080197694054e-01	2.411491772425040578e-03
-3.370000000000000057e-04	3.689223886430087473e-01	1.052676929038449038e-03
-3.359999999999999814e-04	3.885699640647487518e-01	1.392380639885096869e-03
-3.350000000000000113e-04	4.061850316842398056e-01	2.751195483271688409e-03
-3.339999999999999870e-04	4.271876123074790921e-01	2.411491772425040578e-03
-3.329999999999999627e-04	4.488676955314681027e-01	3.090899194118336239e-03
-3.319999999999999926e-04	4.668215144513339632e-01	3.090899194118336239e-03
-3.309999999999999683e-04	4.901953541771971179e-01	2.411491772425040578e-03
-3.299999999999999982e-04	5.074716704963132541e-01	3.430602904964984070e-03
-3.289999999999999739e-04	5.308455102221764088e-01	3.090899194118336239e-03
-3.280000000000000038e-04	5.474443239405429873e-01	3.430602904964984070e-03
-3.269999999999999795e-04	5.691244071645319424e-01	2.751195483271688409e-03
-3.260000000000000094e-04	5.891107338866468091e-01	2.751195483271688409e-03
-3.249999999999999851e-04	6.074033041068874761e-01	3.770306615811631901e-03
-3.239999999999999608e-04	6.273896308290023427e-01	2.071788061578392747e-03
-3.229999999999999907e-04	6.487309627526164357e-01	4.110010326658280165e-03
-3.219999999999999664e-04	6.670235329728571028e-01	3.090899194118336239e-03
-3.209999999999999963e-04	6.876873622957216936e-01	3.090899194118336239e-03
-3.199999999999999720e-04	7.073349377174616981e-01	2.751195483271688409e-03
-3.190000000000000019e-04	7.293537722418255154e-01	3.430602904964984070e-03
-3.179999999999999776e-04	7.486625963631906577e-01	3.430602904964984070e-03
-3.170000000000000075e-04	7.686489230853055243e-01	2.751195483271688409e-03
-3.159999999999999832e-04	7.862639907047965782e-01	2.411491772425040578e-03
-3.149999999999999589e-04	8.072665713280358091e-01	3.770306615811631901e-03
-3.139999999999999888e-04	8.255591415482765871e-01	5.129121459198223223e-03
-3.129999999999999644e-04	8.482554786733900176e-01	2.751195483271688409e-03
-3.119999999999999944e-04	8.679030540951300221e-01	3.090899194118336239e-03
-3.109999999999999700e-04	8.872118782164952755e-01	4.449714037504927562e-03
-3.099999999999999999e-04	9.041494432352366051e-01	3.090899194118336239e-03
-3.089999999999999756e-04	9.268457803603500356e-01	6.148232591738167149e-03
-3.080000000000000055e-04	9.481871122839642396e-01	5.129121459198223223e-03
-3.069999999999999812e-04	9.664796825042049067e-01	4.110010326658280165e-03
-3.060000000000000111e-04	9.864660092263197733e-01	3.770306615811631901e-03
-3.049999999999999868e-04	-1.000649118772420021e+00	-1.083695295059422699e-02
-3.039999999999999625e-04	-9.904865797611752676e-01	-1.117665666144087439e-02
-3.029999999999999924e-04	-9.654189835334380243e-01	-8.798730685514339137e-03
-3.019999999999999681e-04	-9.400126360053259189e-01	-1.117665666144087439e-02
-3.009999999999999980e-04	-9.196875579828363012e-01	-9.478138107207635665e-03
-2.999999999999999737e-04	-8.983462260592220971e-01	-1.015754552890093046e-02
-2.990000000000000036e-04	-8.797149045386065680e-01	-9.817841818054283062e-03
-2.979999999999999793e-04	-8.546473083108693247e-01	-7.779619552974395211e-03
-2.970000000000000092e-04	-8.370322406913782709e-01	-7.779619552974395211e-03
-2.959999999999999849e-04	-8.156909087677641779e-01	-9.138434396360988268e-03
-2.949999999999999606e-04	-7.957045820456493113e-01	-8.798730685514339137e-03
-2.939999999999999905e-04	-7.757182553235344447e-01	-8.119323263821044342e-03
-2.929999999999999662e-04	-7.540381720995454895e-01	-7.100212131281100417e-03
-2.919999999999999961e-04	-7.360843531796795736e-01	-6.420804709587804755e-03
-2.909999999999999718e-04	-7.154205238568150937e-01	-7.100212131281100417e-03
-2.900000000000000017e-04	-6.950954458343254760e-01	-6.760508420434452152e-03
-2.889999999999999774e-04	-6.737541139107112720e-01	-7.100212131281100417e-03
-2.880000000000000073e-04	-6.544452897893461296e-01	-4.722286155354565168e-03
-2.869999999999999830e-04	-6.347977143676061251e-01	-4.382582444507916904e-03
-2.860000000000000129e-04	-6.144726363451163964e-01	-4.722286155354565168e-03
-2.849999999999999886e-04	-5.917762992200029659e-01	-6.081100998741156491e-03
-2.839999999999999643e-04	-5.711124698971384861e-01	-4.382582444507916904e-03
-2.829999999999999942e-04	-5.555299100798963829e-01	-6.081100998741156491e-03
-2.819999999999999699e-04	-5.406248528634040040e-01	-4.042878733661269507e-03
-2.809999999999999998e-04	-5.148797540349170365e-01	-5.061989866201212565e-03
-2.799999999999999755e-04	-4.938771734116776946e-01	-3.703175022814621242e-03
-2.790000000000000054e-04	-4.755846031914369720e-01	-3.023767601121325581e-03
-2.779999999999999811e-04	-4.511945095644493975e-01	-2.344360179428029919e-03
-2.770000000000000110e-04	-4.312081828423345309e-01	-2.684063890274677750e-03
-2.759999999999999867e-04	-4.122381100213441951e-01	-4.042878733661269507e-03
-2.749999999999999624e-04	-3.949617937022279479e-01	-2.344360179428029919e-03
-2.739999999999999923e-04	-3.729429591778641306e-01	-1.664952757734734041e-03
-2.729999999999999680e-04	-3.526178811553744574e-01	-2.344360179428029919e-03
-2.719999999999999979e-04	-3.353415648362582657e-01	-3.363471311967973412e-03
-2.709999999999999735e-04	-3.126452277111447797e-01	-3.363471311967973412e-03
-2.700000000000000035e-04	-2.933364035897796374e-01	-9.855453360414383798e-04
-2.689999999999999791e-04	-2.719950716661654888e-01	-9.855453360414383798e-04
-2.680000000000000090e-04	-2.550575066474241037e-01	-2.344360179428029919e-03
-2.669999999999999847e-04	-2.330386721230602587e-01	-1.325249046888086210e-03
-2.660000000000000146e-04	-2.113585888990713035e-01	-9.855453360414383798e-04
-2.649999999999999903e-04	-1.961147803822040347e-01	-3.061379143481425557e-04
-2.639999999999999660e-04	-1.740959458578402452e-01	-1.325249046888086210e-03
-2.629999999999999959e-04	-1.524158626338512623e-01	-1.325249046888086210e-03
-2.619999999999999716e-04	-1.320907846113615891e-01	7.129732181918010990e-04
-2.610000000000000015e-04	-1.117657065888719159e-01	-1.325249046888086210e-03
-2.599999999999999772e-04	-9.211813116713191141e-02	-1.325249046888086210e-03
-2.590000000000000071e-04	-7.450306354764085759e-02	-3.061379143481425557e-04
-2.579999999999999828e-04	-5.112922382177774450e-02	-1.664952757734734041e-03
-2.570000000000000127e-04	-3.351415620228669762e-02	-1.664952757734734041e-03
-2.559999999999999884e-04	-1.115657037754806506e-02	1.392380639885096869e-03
-2.549999999999999641e-04	7.474751143067464090e-03	-9.855453360414383798e-04
-2.539999999999999940e-04	2.644482396405782240e-02	-9.855453360414383798e-04
-2.529999999999999697e-04	5.049616629067059381e-02	-6.458416251947904406e-04
-2.519999999999999996e-04	6.946623911166094345e-02	3.732695073451532141e-04
-2.509999999999999753e-04	8.979131713415061666e-02	3.356579649850532920e-05
-2.500000000000000052e-04	1.053738769513926921e-01	3.732695073451532141e-04
-2.489999999999999809e-04	1.287477166772558190e-01	7.129732181918010990e-04
-2.480000000000000108e-04	1.467015355971217072e-01	1.732084350731744700e-03
-2.469999999999999865e-04	1.656716084181120430e-01	1.392380639885096869e-03
-2.459999999999999622e-04	1.863354377409765505e-01	1.052676929038449038e-03
-2.449999999999999921e-04	2.046280079612172453e-01	-6.458416251947904406e-04
-2.439999999999999949e-04	2.296956041889545164e-01	2.411491772425040578e-03
-2.429999999999999977e-04	2.476494231088203768e-01	1.732084350731744700e-03
-2.420000000000000005e-04	2.669582472301855747e-01	-3.061379143481425557e-04
-2.409999999999999762e-04	2.866058226519255792e-01	1.732084350731744700e-03
-2.399999999999999790e-04	3.093021597770390652e-01	3.732695073451532141e-04
-2.389999999999999818e-04	3.289497351987790696e-01	7.129732181918010990e-04
-2.379999999999999846e-04	3.469035541186449301e-01	1.732084350731744700e-03
-2.369999999999999874e-04	3.655348756392604592e-01	2.751195483271688409e-03
-2.359999999999999902e-04	3.906024718669977025e-01	1.052676929038449038e-03
-2.349999999999999930e-04	4.102500472887377070e-01	2.071788061578392747e-03
-2.339999999999999958e-04	4.282038662086036229e-01	7.129732181918010990e-04
-2.329999999999999986e-04	4.481901929307184340e-01	1.392380639885096869e-03
-2.320000000000000014e-04	4.708865300558319200e-01	1.392380639885096869e-03
-2.309999999999999771e-04	4.874853437741984430e-01	2.071788061578392747e-03
-2.299999999999999799e-04	5.064554165951887788e-01	2.751195483271688409e-03
-2.289999999999999826e-04	5.264417433173036454e-01	3.732695073451532141e-04
-2.279999999999999854e-04	5.487993291420422137e-01	3.356579649850532920e-05
-2.269999999999999882e-04	5.681081532634074671e-01	1.052676929038449038e-03
-2.259999999999999910e-04	5.874169773847726095e-01	2.411491772425040578e-03
-2.249999999999999938e-04	6.107908171106357642e-01	3.090899194118336239e-03
-2.239999999999999966e-04	6.294221386312512934e-01	3.732695073451532141e-04
-2.229999999999999994e-04	6.477147088514919604e-01	3.732695073451532141e-04
-2.220000000000000022e-04	6.677010355736068270e-01	3.430602904964984070e-03
-2.209999999999999779e-04	6.859936057938474940e-01	2.411491772425040578e-03
-2.199999999999999807e-04	7.063186838163372228e-01	4.449714037504927562e-03
-2.189999999999999835e-04	7.283375183407009290e-01	2.071788061578392747e-03
-2.179999999999999863e-04	7.486625963631906577e-01	7.129732181918010990e-04
-2.169999999999999891e-04	7.683101717849306622e-01	2.071788061578392747e-03
-2.159999999999999919e-04	7.872802446059210535e-01	7.129732181918010990e-04
-2.149999999999999947e-04	8.062503174269113337e-01	2.071788061578392747e-03
-2.139999999999999975e-04	8.275916493505255378e-01	3.430602904964984070e-03
-2.130000000000000003e-04	8.475779760726404044e-01	4.449714037504927562e-03
-2.120000000000000031e-04	8.672255514943804089e-01	2.071788061578392747e-03
-2.109999999999999788e-04	8.878893808172448887e-01	4.449714037504927562e-03
-2.099999999999999816e-04	9.051656971363610804e-01	3.090899194118336239e-03
-2.089999999999999844e-04	9.268457803603500356e-01	2.411491772425040578e-03
-2.079999999999999872e-04	9.495421174854635771e-01	3.090899194118336239e-03
-2.069999999999999900e-04	9.647859260023308181e-01	3.770306615811631901e-03
-2.059999999999999928e-04	9.868047605266946354e-01	3.090899194118336239e-03
-2.049999999999999956e-04	-1.002681626574669194e+00	-1.525310119160065009e-02
-2.039999999999999984e-04	-9.911640823619249918e-01	-1.151636037228752352e-02
-2.030000000000000012e-04	-9.650802322330631622e-01	-1.049724923974757959e-02
-2.020000000000000040e-04	-9.396738847049511678e-01	-1.355458263736740963e-02
-2.009999999999999797e-04	-9.186713040817118259e-01	-1.083695295059422699e-02
-1.999999999999999825e-04	-8.997012312607214346e-01	-9.817841818054283062e-03
-1.989999999999999853e-04	-8.759886402344835288e-01	-9.138434396360988268e-03
-1.979999999999999881e-04	-8.553248109116190490e-01	-1.151636037228752352e-02
-1.969999999999999909e-04	-8.360159867902537956e-01	-9.478138107207635665e-03
-1.959999999999999937e-04	-8.153521574673893157e-01	-1.015754552890093046e-02
-1.949999999999999965e-04	-7.957045820456493113e-01	-9.478138107207635665e-03
-1.939999999999999993e-04	-7.763957579242841689e-01	-8.459026974667691740e-03
-1.930000000000000021e-04	-7.540381720995454895e-01	-9.138434396360988268e-03
-1.920000000000000049e-04	-7.350680992785550982e-01	-8.119323263821044342e-03
-1.909999999999999806e-04	-7.137267673549410052e-01	-8.798730685514339137e-03
-1.899999999999999834e-04	-6.927241867317016633e-01	-8.119323263821044342e-03
-1.889999999999999862e-04	-6.747703678118357473e-01	-7.100212131281100417e-03
-1.879999999999999890e-04	-6.544452897893461296e-01	-7.779619552974395211e-03
-1.869999999999999917e-04	-6.351364656679808762e-01	-8.119323263821044342e-03
-1.859999999999999945e-04	-6.161663928469905960e-01	-5.741397287894509094e-03
-1.849999999999999973e-04	-5.955025635241261162e-01	-6.420804709587804755e-03
-1.840000000000000001e-04	-5.728062263990125746e-01	-6.081100998741156491e-03
-1.830000000000000029e-04	-5.534974022776474323e-01	-5.061989866201212565e-03
-1.819999999999999786e-04	-5.324948216544080903e-01	-5.741397287894509094e-03
-1.809999999999999814e-04	-5.104759871300442731e-01	-5.741397287894509094e-03
-1.799999999999999842e-04	-4.918446656094286884e-01	-3.363471311967973412e-03
-1.789999999999999870e-04	-4.715195875869390707e-01	-3.363471311967973412e-03
-1.779999999999999898e-04	-4.511945095644493975e-01	-4.722286155354565168e-03
-1.769999999999999926e-04	-4.325631880438338683e-01	-4.042878733661269507e-03
-1.759999999999999954e-04	-4.135931152228434771e-01	-4.382582444507916904e-03
-1.749999999999999982e-04	-3.942842911014782792e-01	-4.722286155354565168e-03
-1.740000000000000010e-04	-3.722654565771145174e-01	-4.042878733661269507e-03
-1.730000000000000038e-04	-3.522791298549996508e-01	-3.703175022814621242e-03
-1.719999999999999795e-04	-3.333090570340093151e-01	-4.042878733661269507e-03
-1.709999999999999823e-04	-3.116289738100203044e-01	-3.023767601121325581e-03
-1.699999999999999851e-04	-2.933364035897796374e-01	-4.722286155354565168e-03
-1.689999999999999879e-04	-2.733500768676647708e-01	-1.325249046888086210e-03
-1.679999999999999907e-04	-2.570900144496730544e-01	-2.004656468581382089e-03
-1.669999999999999935e-04	-2.330386721230602587e-01	-2.344360179428029919e-03
-1.659999999999999963e-04	-2.110198375986964692e-01	-2.684063890274677750e-03
-1.649999999999999991e-04	-1.923885160780809400e-01	-2.344360179428029919e-03
-1.640000000000000019e-04	-1.727409406563409078e-01	-6.458416251947904406e-04
-1.630000000000000047e-04	-1.530933652346009033e-01	-2.684063890274677750e-03
-1.619999999999999804e-04	-1.327682872121112301e-01	-6.458416251947904406e-04
-1.609999999999999832e-04	-1.124432091896215846e-01	-3.023767601121325581e-03
-1.599999999999999860e-04	-9.347313636863122110e-02	-2.004656468581382089e-03
-1.589999999999999888e-04	-7.179305314464223819e-02	-6.458416251947904406e-04
-1.579999999999999916e-04	-5.316173162402671598e-02	-3.061379143481425557e-04
