# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-2.499999999999999792e-02	6.777248260978679939e-02	1.056438083274459025e-02
-2.499900000000000039e-02	1.007807341149933977e+00	2.415252926661050348e-02
-2.499799999999999939e-02	1.007129838549184253e+00	3.672156656793647972e-02
-2.499699999999999839e-02	1.008146092450308728e+00	5.098912242349568774e-02
-2.499599999999999739e-02	1.004758579446560551e+00	6.457727085736160444e-02
-2.499499999999999986e-02	1.002048569043561876e+00	7.884482671292081246e-02
-2.499399999999999886e-02	1.000693563842062428e+00	8.971534546001354304e-02
-2.499299999999999786e-02	1.002048569043561876e+00	1.043226050264194071e-01
-2.499200000000000033e-02	1.000693563842062428e+00	1.145137163518188395e-01
-2.499099999999999933e-02	9.996773099409380636e-01	1.287812722073780614e-01
-2.498999999999999833e-02	9.996773099409380636e-01	1.389723835327774659e-01
-2.498899999999999733e-02	1.001371066442812152e+00	1.491634948581769260e-01
-2.498799999999999980e-02	1.000016061241312926e+00	1.617325321595028953e-01
-2.498699999999999879e-02	1.000354812541687677e+00	1.732824583282889241e-01
-2.498599999999999779e-02	1.000016061241312926e+00	1.841529770753816408e-01
-2.498500000000000026e-02	1.000016061241312926e+00	1.943440884007811009e-01
-2.498399999999999926e-02	1.000016061241312926e+00	2.031763848827939367e-01
-2.498299999999999826e-02	9.989998073401884504e-01	2.157454221841199060e-01
-2.498199999999999726e-02	9.986610560398135883e-01	2.255968297986726823e-01
-2.498099999999999973e-02	9.986610560398135883e-01	2.334100151481455776e-01
-2.497999999999999873e-02	9.993385586405632015e-01	2.425820153410050972e-01
-2.497899999999999773e-02	9.989998073401884504e-01	2.524334229555578735e-01
-2.497800000000000020e-02	1.001371066442812152e+00	2.616054231484173376e-01
-2.497699999999999920e-02	1.000354812541687677e+00	2.683994973653503480e-01
-2.497599999999999820e-02	6.438496960603853903e-02	2.707774233412768572e-01
-2.497499999999999720e-02	5.693244099779232181e-02	2.687392010761969763e-01
-2.497399999999999967e-02	5.964245140079094815e-02	2.660215713894237832e-01
-2.497299999999999867e-02	6.235246180378956754e-02	2.595672008833374567e-01
-2.497199999999999767e-02	6.946623911166094345e-02	2.520937192447112452e-01
-2.497100000000000014e-02	6.607872610791268309e-02	2.483569784253981116e-01
-2.496999999999999914e-02	6.506247220678818000e-02	2.452996450277782903e-01
-2.496899999999999814e-02	6.743373130941199278e-02	2.402040893650785325e-01
-2.496799999999999714e-02	6.607872610791268309e-02	2.368070522566120828e-01
-2.496699999999999961e-02	-3.704041769301853922e-03	2.313717928830656967e-01
-2.496599999999999861e-02	-1.671533967052886991e-03	2.283144594854458753e-01
-2.496499999999999761e-02	-4.042793069676681346e-03	2.259365335095193661e-01
-2.496400000000000008e-02	-1.671533967052886991e-03	2.177836444491997869e-01
-2.496299999999999908e-02	-2.349036567802542490e-03	2.123483850756534563e-01
-2.496199999999999808e-02	-6.414052172300475918e-03	2.096307553888802633e-01
-2.496100000000000055e-02	-1.671533967052886991e-03	2.031763848827939367e-01
-2.495999999999999955e-02	-6.552800659284035252e-04	1.984205329309408627e-01
-2.495899999999999855e-02	-2.687787868177370348e-03	1.963823106658609818e-01
-2.495799999999999755e-02	-3.704041769301853922e-03	1.929852735573944766e-01
-2.495700000000000002e-02	-1.332782666678059133e-03	1.865309030513082056e-01
-2.495599999999999902e-02	-3.365290468927026064e-03	1.841529770753816408e-01
-2.495499999999999802e-02	-1.671533967052886991e-03	1.797368288343752507e-01
-2.495400000000000049e-02	-2.687787868177370348e-03	1.749809768825221767e-01
-2.495299999999999949e-02	-2.010285267427714632e-03	1.719236434849023554e-01
-2.495199999999999849e-02	-9.940313663032312747e-04	1.685266063764358502e-01
