# Acquisizione Analog Discovery 2
# Timestamp 2024-10-03 11:39:59
# time	ch1	ch2
-4.999999999999999562e-05	2.581507134204400478e-01	-1.695161974583388881e-02
-4.899999999999999842e-05	2.754270297395562395e-01	-2.034865685430036625e-02
-4.800000000000000122e-05	2.933808486594221554e-01	-2.340599025192019803e-02
-4.699999999999999724e-05	3.147221805830363039e-01	-2.646332364954002980e-02
-4.600000000000000004e-05	3.336922534040266397e-01	-2.850154591461991765e-02
-4.499999999999999606e-05	3.536785801261415063e-01	-2.646332364954002980e-02
-4.399999999999999886e-05	3.773911711523794121e-01	-2.442510138446014195e-02
-4.299999999999999488e-05	3.939899848707459906e-01	-2.238687911938025410e-02
-4.199999999999999768e-05	4.119438037906118510e-01	-2.510450880615343675e-02
-4.100000000000000047e-05	4.346401409157253370e-01	-2.238687911938025410e-02
-3.999999999999999650e-05	4.553039702385898169e-01	-2.510450880615343675e-02
-3.899999999999999929e-05	4.756290482610794901e-01	-2.102806427599366451e-02
-3.799999999999999532e-05	4.956153749831943567e-01	-1.287517521567411484e-02
-3.699999999999999811e-05	5.128916913023104929e-01	7.846751145971405869e-03
-3.600000000000000091e-05	5.345717745262994480e-01	1.667904762798425033e-02
-3.499999999999999693e-05	5.542193499480394525e-01	-7.439915842127747814e-03
-3.399999999999999973e-05	5.782706922746522205e-01	-3.971176837255929737e-02
-3.299999999999999575e-05	5.952082572933936611e-01	-5.805576875827828109e-02
-3.199999999999999855e-05	6.155333353158832788e-01	-5.431902793896515452e-02
-3.100000000000000135e-05	6.321321490342498572e-01	-4.276910177017912568e-02
-2.999999999999999737e-05	6.538122322582388124e-01	-2.952065704715986158e-02
-2.900000000000000017e-05	6.744760615811034032e-01	-2.340599025192019803e-02
-2.799999999999999958e-05	6.958173935047174963e-01	-1.831043458922048187e-02
-2.699999999999999899e-05	7.158037202268323629e-01	-1.457369376990735356e-02
-2.599999999999999840e-05	7.351125443481975053e-01	-1.593250861329394488e-02
-2.499999999999999781e-05	7.534051145684382833e-01	-2.034865685430036625e-02
-2.400000000000000061e-05	7.744076951916775142e-01	-2.136776798684031017e-02
-2.300000000000000002e-05	7.960877784156665804e-01	-2.306628654107355236e-02
-2.199999999999999943e-05	8.174291103392806734e-01	-2.034865685430036625e-02
-2.099999999999999884e-05	8.347054266583968651e-01	-2.102806427599366451e-02
-1.999999999999999825e-05	8.553692559812614560e-01	-1.695161974583388881e-02
-1.899999999999999766e-05	8.733230749011272609e-01	-1.831043458922048187e-02
-1.800000000000000046e-05	8.919543964217427900e-01	-1.661191603498723968e-02
-1.699999999999999987e-05	9.153282361476059448e-01	-1.898984201091377666e-02
-1.599999999999999928e-05	9.319270498659725233e-01	1.052676929038449038e-03
-1.499999999999999869e-05	9.519133765880872788e-01	1.973638102560408211e-02
-1.399999999999999979e-05	9.732547085117014829e-01	2.143489957983732083e-02
-1.299999999999999920e-05	9.929022839334414874e-01	-1.049724923974757959e-02
-1.200000000000000030e-05	-1.003020377875043945e+00	-5.737636133658498977e-02
-1.099999999999999971e-05	-9.843890563544284156e-01	-6.960569492706430994e-02
-9.999999999999999124e-06	-9.596602114270659234e-01	-6.315132442097799725e-02
-9.000000000000000228e-06	-9.366251230015776308e-01	-4.820436114372549097e-02
-7.999999999999999638e-06	-9.142675371768390624e-01	-3.563532384239952167e-02
