# Acquisizione Analog Discovery 2
# Timestamp 2024-10-26 18:27:03
# time	ch1	ch2
-1.000000000000000021e-02	1.067833308809577497e+00	2.531851454856638650e+00
-9.980000000000001023e-03	1.045697704980062204e+00	2.528147108610397709e+00
-9.960000000000000103e-03	1.030940635760385415e+00	2.539260147349120089e+00
-9.940000000000000918e-03	1.019872833845627769e+00	2.554077532334082523e+00
-9.919999999999999998e-03	1.008805031930870122e+00	2.561486224826563962e+00
-9.900000000000000813e-03	1.008805031930870122e+00	2.580007956057767338e+00
-9.880000000000001628e-03	1.008805031930870122e+00	2.602234033535211211e+00
-9.860000000000000708e-03	1.008805031930870122e+00	2.609642726027692650e+00
-9.840000000000001523e-03	9.940479627111932226e-01	2.617051418520174089e+00
-9.820000000000000603e-03	9.645338242718395350e-01	2.628164457258896025e+00
-9.800000000000001418e-03	9.719123588816779291e-01	2.654094880982580840e+00
-9.780000000000000498e-03	9.756016261865971817e-01	2.650390534736340342e+00
-9.760000000000001313e-03	9.387089531374050999e-01	2.668912265967543718e+00
-9.740000000000000394e-03	9.571552896620011408e-01	2.680025304706265654e+00
-9.720000000000001208e-03	9.313304185275665947e-01	2.705955728429950469e+00
-9.700000000000000289e-03	9.460874877472434941e-01	2.713364420922431464e+00
-9.680000000000001104e-03	9.313304185275665947e-01	2.728181805907394342e+00
-9.660000000000000184e-03	9.387089531374050999e-01	2.731886152153634839e+00
-9.640000000000000999e-03	9.350196858324858473e-01	2.731886152153634839e+00
-9.620000000000000079e-03	8.981270127832937655e-01	2.750407883384838215e+00
-9.600000000000000894e-03	9.018162800882129071e-01	2.794860038339726405e+00
-9.579999999999999974e-03	9.091948146980514123e-01	2.776338307108523029e+00
-9.560000000000000789e-03	8.796806762586977246e-01	2.787451345847244966e+00
-9.540000000000001604e-03	8.796806762586977246e-01	2.809677423324689283e+00
-9.520000000000000684e-03	8.759914089537784720e-01	2.802268730832207844e+00
-9.500000000000001499e-03	8.833699435636168662e-01	2.820790462063411219e+00
-9.480000000000000579e-03	8.723021416488592195e-01	2.843016539540855092e+00
-9.460000000000001394e-03	8.501665378193439260e-01	2.854129578279577473e+00
-9.440000000000000474e-03	8.686128743439400779e-01	2.850425232033336531e+00
-9.420000000000001289e-03	8.501665378193439260e-01	2.868946963264539907e+00
-9.400000000000000369e-03	8.464772705144247844e-01	2.857833924525817970e+00
-9.380000000000001184e-03	8.390987359045863903e-01	2.872651309510780848e+00
-9.360000000000000264e-03	8.317202012947478851e-01	2.894877386988224721e+00
-9.340000000000001079e-03	8.280309339898287435e-01	2.905990425726946658e+00
-9.320000000000000159e-03	8.058953301603134500e-01	2.917103464465668594e+00
-9.300000000000000974e-03	7.948275282455558033e-01	2.924512156958150033e+00
-9.280000000000000054e-03	8.132738647701518442e-01	2.954146926928075345e+00
-9.260000000000000869e-03	7.874489936357174091e-01	2.954146926928075345e+00
-9.239999999999999949e-03	7.911382609406365507e-01	2.965259965666797726e+00
-9.220000000000000764e-03	7.726919244160405098e-01	2.968964311913038223e+00
-9.200000000000001579e-03	7.763811917209597624e-01	2.972668658159278721e+00
-9.180000000000000659e-03	7.763811917209597624e-01	2.987486043144241599e+00
-9.160000000000001474e-03	7.653133898062021157e-01	2.998599081882963535e+00
-9.140000000000000555e-03	7.726919244160405098e-01	2.991190389390482096e+00
-9.120000000000001369e-03	7.468670532816060748e-01	3.009712120621685472e+00
-9.100000000000000450e-03	7.616241225012828631e-01	3.031938198099129789e+00
-9.080000000000001265e-03	7.653133898062021157e-01	3.031938198099129789e+00
-9.060000000000000345e-03	7.394885186717675696e-01	3.061572968069055101e+00
-9.040000000000001160e-03	7.062851129274947404e-01	3.057868621822814603e+00
-9.020000000000000240e-03	7.394885186717675696e-01	3.050459929330333164e+00
-9.000000000000001055e-03	7.099743802324138819e-01	3.068981660561536540e+00
-8.980000000000000135e-03	7.210421821471715287e-01	3.072686006807777037e+00
-8.960000000000000950e-03	7.136636475373331345e-01	3.087503391792739915e+00
-8.940000000000000030e-03	7.025958456225754878e-01	3.091207738038980413e+00
-8.920000000000000845e-03	6.989065783176562352e-01	3.098616430531461852e+00
-8.899999999999999925e-03	6.915280437078178410e-01	3.113433815516424730e+00
-8.880000000000000740e-03	6.952173110127370936e-01	3.117138161762665227e+00
-8.860000000000001555e-03	6.730817071832218002e-01	3.120842508008905725e+00
-8.840000000000000635e-03	6.952173110127370936e-01	3.135659892993868603e+00
-8.820000000000001450e-03	6.583246379635449008e-01	3.143068585486350042e+00
-8.800000000000000530e-03	6.657031725733834060e-01	3.150477277978831481e+00
-8.780000000000001345e-03	6.620139052684641534e-01	3.157885970471312476e+00
-8.760000000000000425e-03	6.583246379635449008e-01	3.187520740441237788e+00
-8.740000000000001240e-03	6.583246379635449008e-01	3.187520740441237788e+00
-8.720000000000000320e-03	6.583246379635449008e-01	3.194929432933719227e+00
-8.700000000000001135e-03	6.435675687438681125e-01	3.202338125426200666e+00
-8.680000000000000215e-03	6.435675687438681125e-01	3.217155510411163544e+00
-8.660000000000001030e-03	6.509461033537065067e-01	3.206042471672441163e+00
-8.640000000000000110e-03	6.324997668291104658e-01	3.220859856657404041e+00
-8.620000000000000925e-03	6.324997668291104658e-01	3.228268549149885480e+00
-8.600000000000000006e-03	6.103641629995951723e-01	3.250494626627329353e+00
-8.580000000000000820e-03	5.992963610848375255e-01	3.224564202903644539e+00
-8.559999999999999901e-03	5.882285591700798788e-01	3.254198972873570295e+00
-8.540000000000000716e-03	5.956070937799183840e-01	3.265312011612292231e+00
-8.520000000000001530e-03	5.882285591700798788e-01	3.272720704104773670e+00
-8.500000000000000611e-03	5.734714899504030905e-01	3.276425050351014168e+00
-8.480000000000001426e-03	5.992963610848375255e-01	3.298651127828458041e+00
-8.460000000000000506e-03	5.660929553405645853e-01	3.294946781582217543e+00
-8.440000000000001321e-03	5.808500245602414847e-01	3.302355474074698982e+00
-8.420000000000000401e-03	5.771607572553222321e-01	3.309764166567180421e+00
-8.400000000000001216e-03	5.771607572553222321e-01	3.328285897798383797e+00
-8.380000000000000296e-03	5.734714899504030905e-01	3.324581551552142855e+00
-8.360000000000001111e-03	5.845392918651607372e-01	3.324581551552142855e+00
-8.340000000000000191e-03	5.734714899504030905e-01	3.350511975275827670e+00
-8.320000000000001006e-03	5.587144207307261912e-01	3.331990244044624294e+00
-8.300000000000000086e-03	5.402680842061301503e-01	3.343103282783346231e+00
-8.280000000000000901e-03	5.587144207307261912e-01	3.369033706507031045e+00
-8.259999999999999981e-03	5.476466188159685444e-01	3.361625014014549606e+00
-8.240000000000000796e-03	5.513358861208877970e-01	3.365329360260790548e+00
-8.219999999999999876e-03	5.328895495962917561e-01	3.369033706507031045e+00
-8.200000000000000691e-03	5.402680842061301503e-01	3.391259783984474918e+00
-8.180000000000001506e-03	5.218217476815341094e-01	3.409781515215678294e+00
-8.160000000000000586e-03	5.328895495962917561e-01	3.406077168969437796e+00
-8.140000000000001401e-03	5.365788169012108977e-01	3.402372822723197299e+00
-8.120000000000000481e-03	5.107539457667764626e-01	3.420894553954400674e+00
-8.100000000000001296e-03	5.070646784618572100e-01	3.424598900200641172e+00
-8.080000000000000376e-03	5.070646784618572100e-01	3.435711938939363108e+00
-8.060000000000001191e-03	5.218217476815341094e-01	3.420894553954400674e+00
-8.040000000000000271e-03	4.996861438520188159e-01	3.443120631431844547e+00
-8.020000000000001086e-03	4.996861438520188159e-01	3.457938016416807425e+00
-8.000000000000000167e-03	4.996861438520188159e-01	3.446824977678085045e+00
-7.980000000000000981e-03	4.701720054126651283e-01	3.439416285185604050e+00
-7.960000000000000062e-03	4.664827381077458757e-01	3.450529323924325986e+00
-7.940000000000000877e-03	4.812398073274227750e-01	3.472755401401769859e+00
-7.919999999999999957e-03	4.517256688880690318e-01	3.472755401401769859e+00
-7.900000000000000772e-03	4.701720054126651283e-01	3.469051055155529362e+00
-7.879999999999999852e-03	4.738612727175843253e-01	3.494981478879214176e+00
