# Acquisizione Analog Discovery 2
# Timestamp 2024-10-26 19:20:09
# time	ch1	ch2
-1.000000000000000021e-02	-1.632710358391285865e+00	-1.016912249041928007e+00
-9.980000000000001023e-03	-1.621642556476528219e+00	-1.050251365258094038e+00
-9.960000000000000103e-03	-1.610574754561770572e+00	-1.068773096489297414e+00
-9.940000000000000918e-03	-1.610574754561770572e+00	-1.113225251444185382e+00
-9.919999999999999998e-03	-1.606885487256851430e+00	-1.120633943936666821e+00
-9.900000000000000813e-03	-1.588439150732255278e+00	-1.168790445137795508e+00
-9.880000000000001628e-03	-1.588439150732255278e+00	-1.183607830122758386e+00
-9.860000000000000708e-03	-1.577371348817497632e+00	-1.209538253846442979e+00
-9.840000000000001523e-03	-1.566303546902739985e+00	-1.253990408801331169e+00
-9.820000000000000603e-03	-1.558925012292901702e+00	-1.283625178771256481e+00
-9.800000000000001418e-03	-1.533100141158467045e+00	-1.302146910002459856e+00
-9.780000000000000498e-03	-1.555235744987982338e+00	-1.324372987479903951e+00
-9.760000000000001313e-03	-1.536789408463386408e+00	-1.346599064957348046e+00
-9.740000000000000394e-03	-1.544167943073224691e+00	-1.383642527419754797e+00
-9.720000000000001208e-03	-1.525721606548628762e+00	-1.409572951143439390e+00
-9.700000000000000289e-03	-1.522032339243709398e+00	-1.439207721113364924e+00
-9.680000000000001104e-03	-1.503586002719113468e+00	-1.457729452344568299e+00
-9.660000000000000184e-03	-1.507275270024032610e+00	-1.491068568560734331e+00
-9.640000000000000999e-03	-1.499896735414194326e+00	-1.520703338530659643e+00
-9.620000000000000079e-03	-1.492518200804355821e+00	-1.535520723515622521e+00
-9.600000000000000894e-03	-1.481450398889598175e+00	-1.550338108500585177e+00
-9.579999999999999974e-03	-1.481450398889598175e+00	-1.576268532224269769e+00
-9.560000000000000789e-03	-1.459314795060082881e+00	-1.598494609701713864e+00
-9.540000000000001604e-03	-1.459314795060082881e+00	-1.628129379671639176e+00
-9.520000000000000684e-03	-1.459314795060082881e+00	-1.672581534626527366e+00
-9.500000000000001499e-03	-1.444557725840406093e+00	-1.679990227119008805e+00
-9.480000000000000579e-03	-1.444557725840406093e+00	-1.691103265857730742e+00
-9.460000000000001394e-03	-1.444557725840406093e+00	-1.720738035827656054e+00
-9.440000000000000474e-03	-1.415043587401052294e+00	-1.750372805797581588e+00
-9.420000000000001289e-03	-1.396597250876456364e+00	-1.776303229521266180e+00
-9.400000000000000369e-03	-1.403975785486294647e+00	-1.791120614506229058e+00
-9.380000000000001184e-03	-1.418732854705971658e+00	-1.828164076968635809e+00
-9.360000000000000264e-03	-1.374461647046941071e+00	-1.824459730722395090e+00
-9.340000000000001079e-03	-1.378150914351860212e+00	-1.850390154446079682e+00
-9.320000000000000159e-03	-1.378150914351860212e+00	-1.872616231923523777e+00
-9.300000000000000974e-03	-1.344947508607587272e+00	-1.898546655647208592e+00
-9.280000000000000054e-03	-1.359704577827264060e+00	-1.898546655647208592e+00
-9.260000000000000869e-03	-1.341258241302668131e+00	-1.939294464355856062e+00
-9.239999999999999949e-03	-1.344947508607587272e+00	-1.939294464355856062e+00
-9.220000000000000764e-03	-1.344947508607587272e+00	-1.980042273064503311e+00
-9.200000000000001579e-03	-1.311744102863314332e+00	-1.987450965556984750e+00
-9.180000000000000659e-03	-1.300676300948556685e+00	-2.002268350541947406e+00
-9.160000000000001474e-03	-1.326501172082991342e+00	-2.039311813004354157e+00
-9.140000000000000555e-03	-1.293297766338718402e+00	-2.054129197989317035e+00
-9.120000000000001369e-03	-1.285919231728879897e+00	-2.072650929220520410e+00
-9.100000000000000450e-03	-1.263783627899364603e+00	-2.083763967959242347e+00
-9.080000000000001265e-03	-1.274851429814122250e+00	-2.102285699190445722e+00
-9.060000000000000345e-03	-1.282229964423960755e+00	-2.117103084175408156e+00
-9.040000000000001160e-03	-1.267472895204283967e+00	-2.124511776667889595e+00
-9.020000000000000240e-03	-1.230580222155091663e+00	-2.157850892884055849e+00
-9.000000000000001055e-03	-1.234269489460011027e+00	-2.146737854145333912e+00
-8.980000000000000135e-03	-1.230580222155091663e+00	-2.161555239130296346e+00
-8.960000000000000950e-03	-1.249026558679687815e+00	-2.180076970361499722e+00
-8.940000000000000030e-03	-1.204755351020657228e+00	-2.209711740331425034e+00
-8.920000000000000845e-03	-1.193687549105899581e+00	-2.228233471562628409e+00
-8.899999999999999925e-03	-1.201066083715738086e+00	-2.239346510301350790e+00
-8.880000000000000740e-03	-1.182619747191141935e+00	-2.257868241532554165e+00
-8.860000000000001555e-03	-1.175241212581303651e+00	-2.272685626517516599e+00
-8.840000000000000635e-03	-1.175241212581303651e+00	-2.287503011502479477e+00
-8.820000000000001450e-03	-1.160484143361626641e+00	-2.309729088979923350e+00
-8.800000000000000530e-03	-1.167862677971465146e+00	-2.320842127718645287e+00
-8.780000000000001345e-03	-1.142037806837030711e+00	-2.328250820211126726e+00
-8.760000000000000425e-03	-1.127280737617353701e+00	-2.357885590181052038e+00
-8.740000000000001240e-03	-1.145727074141949853e+00	-2.368998628919774418e+00
-8.720000000000000320e-03	-1.112523668397676913e+00	-2.398633398889699730e+00
-8.700000000000001135e-03	-1.086698797263242477e+00	-2.398633398889699730e+00
-8.680000000000000215e-03	-1.101455866482919266e+00	-2.402337745135940228e+00
-8.660000000000001030e-03	-1.105145133787838629e+00	-2.431972515105865540e+00
-8.640000000000000110e-03	-1.105145133787838629e+00	-2.457902938829550354e+00
-8.620000000000000925e-03	-1.064563193433727184e+00	-2.465311631322031793e+00
-8.600000000000000006e-03	-1.064563193433727184e+00	-2.461607285075791296e+00
-8.580000000000000820e-03	-1.068252460738646326e+00	-2.457902938829550354e+00
-8.559999999999999901e-03	-1.035049054994373385e+00	-2.494946401291957105e+00
-8.540000000000000716e-03	-1.038738322299292749e+00	-2.513468132523160481e+00
