# Acquisizione Analog Discovery 2
# Timestamp 2024-11-12 11:50:39
# time	ch1	ch2
-5.000000000000000104e-03	5.299422907551913475e+00	-3.432355489263791415e-02
-4.990000000000000512e-03	5.292044372942075192e+00	-2.723794131154923248e-02
-4.980000000000000052e-03	5.295733640246994334e+00	-3.061204301682955708e-02
-4.970000000000000459e-03	5.284665838332236909e+00	-3.567319557475004399e-02
-4.959999999999999999e-03	5.303112174856832617e+00	-4.275880915583871872e-02
-4.950000000000000407e-03	5.295733640246994334e+00	-3.094945318735758955e-02
-4.940000000000000814e-03	5.303112174856832617e+00	-3.061204301682955708e-02
-4.930000000000000354e-03	5.299422907551913475e+00	-4.073434813267052396e-02
-4.920000000000000762e-03	5.306801442161751758e+00	-2.791276165260529740e-02
-4.910000000000000302e-03	5.310490709466671788e+00	-3.533578540422201153e-02
-4.900000000000000709e-03	5.299422907551913475e+00	-3.263650403999775185e-02
-4.890000000000000249e-03	5.299422907551913475e+00	-3.162427352841365447e-02
-4.880000000000000657e-03	5.295733640246994334e+00	-3.837247693897429673e-02
-4.870000000000000197e-03	5.292044372942075192e+00	-2.420124977679694381e-02
-4.860000000000000604e-03	5.299422907551913475e+00	-3.364873455158184923e-02
-4.850000000000000144e-03	5.288355105637156051e+00	-3.466096506316594661e-02
-4.840000000000000552e-03	5.299422907551913475e+00	-2.183937858310071659e-02
-4.830000000000000092e-03	5.306801442161751758e+00	-3.769765659791823181e-02
-4.820000000000000499e-03	5.299422907551913475e+00	-3.364873455158184923e-02
-4.810000000000000039e-03	5.303112174856832617e+00	-2.048973790098858674e-02
-4.800000000000000447e-03	5.317869244076510071e+00	-3.162427352841365447e-02
-4.789999999999999987e-03	5.306801442161751758e+00	-3.533578540422201153e-02
-4.780000000000000394e-03	5.292044372942075192e+00	-3.533578540422201153e-02
-4.770000000000000802e-03	5.310490709466671788e+00	-3.398614472210988169e-02
-4.760000000000000342e-03	5.303112174856832617e+00	-2.993722267577349216e-02
-4.750000000000000749e-03	5.295733640246994334e+00	-3.702283625686216689e-02
-4.740000000000000289e-03	5.314179976771590930e+00	-3.162427352841365447e-02
-4.730000000000000697e-03	5.310490709466671788e+00	-1.779045653676433053e-02
-4.720000000000000237e-03	5.314179976771590930e+00	-3.466096506316594661e-02
-4.710000000000000644e-03	5.306801442161751758e+00	-3.331132438105381677e-02
-4.700000000000000185e-03	5.321558511381429213e+00	-1.779045653676433053e-02
-4.690000000000000592e-03	5.321558511381429213e+00	-3.601060574527807645e-02
-4.680000000000000132e-03	5.303112174856832617e+00	-3.229909386946971939e-02
-4.670000000000000540e-03	5.299422907551913475e+00	-2.993722267577349216e-02
-4.660000000000000080e-03	5.306801442161751758e+00	-4.275880915583871872e-02
-4.650000000000000487e-03	5.295733640246994334e+00	-2.959981250524545970e-02
-4.640000000000000027e-03	5.317869244076510071e+00	-3.196168369894168693e-02
-4.630000000000000435e-03	5.306801442161751758e+00	-3.769765659791823181e-02
-4.619999999999999975e-03	5.310490709466671788e+00	-3.196168369894168693e-02
-4.610000000000000382e-03	5.299422907551913475e+00	-3.162427352841365447e-02
-4.600000000000000790e-03	5.310490709466671788e+00	-4.107175830319855642e-02
-4.590000000000000330e-03	5.314179976771590930e+00	-3.263650403999775185e-02
-4.580000000000000737e-03	5.306801442161751758e+00	-2.825017182313332986e-02
-4.570000000000000277e-03	5.295733640246994334e+00	-2.959981250524545970e-02
-4.560000000000000685e-03	5.306801442161751758e+00	-3.668542608633413443e-02
-4.550000000000000225e-03	5.295733640246994334e+00	-1.475376500201203839e-02
-4.540000000000000632e-03	5.288355105637156051e+00	-3.331132438105381677e-02
-4.530000000000000172e-03	5.295733640246994334e+00	-3.668542608633413443e-02
