# Acquisizione Analog Discovery 2
# Timestamp 2024-11-14 11:06:52
# time	ch1	ch2
-5.000000000000000104e-03	2.621014844180566072e+00	-1.763732366849395106e-01
-4.990000000000000512e-03	2.613636309570727789e+00	-1.753610061733553993e-01
-4.980000000000000052e-03	2.598879240351050335e+00	-1.804221587312759001e-01
-4.970000000000000459e-03	2.613636309570727789e+00	-1.746861858322993344e-01
-4.959999999999999999e-03	2.628393378790404356e+00	-1.767106468554675291e-01
-4.950000000000000407e-03	2.635771913400242639e+00	-1.750235960028273807e-01
-4.940000000000000814e-03	2.613636309570727789e+00	-1.719869044680751025e-01
-4.930000000000000354e-03	2.624704111485485214e+00	-1.777228773670516404e-01
-4.920000000000000762e-03	2.602568507655969476e+00	-1.682753925922667315e-01
-4.910000000000000302e-03	2.613636309570727789e+00	-1.760358265144114642e-01
-4.900000000000000709e-03	2.635771913400242639e+00	-1.767106468554675291e-01
-4.890000000000000249e-03	2.606257774960888618e+00	-1.760358265144114642e-01
-4.880000000000000657e-03	2.606257774960888618e+00	-1.837962604365562247e-01
-4.870000000000000197e-03	2.602568507655969476e+00	-1.797473383902198352e-01
-4.860000000000000604e-03	2.632082646095323497e+00	-1.773854671965235941e-01
-4.850000000000000144e-03	2.613636309570727789e+00	-1.797473383902198352e-01
-4.840000000000000552e-03	2.595189973046131193e+00	-1.743487756617713158e-01
-4.830000000000000092e-03	2.621014844180566072e+00	-1.598401383290659339e-01
-4.820000000000000499e-03	2.613636309570727789e+00	-1.729991349796591860e-01
-4.810000000000000039e-03	2.624704111485485214e+00	-1.804221587312759001e-01
-4.800000000000000447e-03	2.613636309570727789e+00	-1.743487756617713158e-01
-4.789999999999999987e-03	2.632082646095323497e+00	-1.756984163438834456e-01
-4.780000000000000394e-03	2.609947042265808648e+00	-1.794099282196917888e-01
-4.770000000000000802e-03	2.628393378790404356e+00	-1.797473383902198352e-01
-4.760000000000000342e-03	2.628393378790404356e+00	-1.736739553207152509e-01
-4.750000000000000749e-03	2.609947042265808648e+00	-1.821092095839160485e-01
-4.740000000000000289e-03	2.606257774960888618e+00	-1.733365451501872045e-01
-4.730000000000000697e-03	2.628393378790404356e+00	-1.676005722512106666e-01
-4.720000000000000237e-03	2.621014844180566072e+00	-1.777228773670516404e-01
-4.710000000000000644e-03	2.617325576875646931e+00	-1.783976977081077053e-01
-4.700000000000000185e-03	2.624704111485485214e+00	-1.598401383290659339e-01
-4.690000000000000592e-03	2.609947042265808648e+00	-1.794099282196917888e-01
-4.680000000000000132e-03	2.606257774960888618e+00	-1.817717994133880299e-01
-4.670000000000000540e-03	2.617325576875646931e+00	-1.787351078786357239e-01
-4.660000000000000080e-03	2.624704111485485214e+00	-1.807595689018039187e-01
-4.650000000000000487e-03	2.617325576875646931e+00	-1.726617248091311674e-01
-4.640000000000000027e-03	2.621014844180566072e+00	-1.760358265144114642e-01
-4.630000000000000435e-03	2.621014844180566072e+00	-1.794099282196917888e-01
-4.619999999999999975e-03	2.632082646095323497e+00	-1.692876231038508428e-01
-4.610000000000000382e-03	2.609947042265808648e+00	-1.726617248091311674e-01
-4.600000000000000790e-03	2.617325576875646931e+00	-1.787351078786357239e-01
-4.590000000000000330e-03	2.621014844180566072e+00	-1.800847485607478538e-01
-4.580000000000000737e-03	2.621014844180566072e+00	-1.740113654912432695e-01
-4.570000000000000277e-03	2.609947042265808648e+00	-1.588279078174818226e-01
-4.560000000000000685e-03	2.632082646095323497e+00	-1.753610061733553993e-01
-4.550000000000000225e-03	2.613636309570727789e+00	-1.773854671965235941e-01
-4.540000000000000632e-03	2.598879240351050335e+00	-1.773854671965235941e-01
-4.530000000000000172e-03	2.621014844180566072e+00	-1.790725180491637702e-01
-4.520000000000000580e-03	2.613636309570727789e+00	-1.861581316302524380e-01
-4.510000000000000120e-03	2.602568507655969476e+00	-1.773854671965235941e-01
-4.500000000000000527e-03	2.609947042265808648e+00	-1.696250332743788614e-01
-4.490000000000000067e-03	2.609947042265808648e+00	-1.760358265144114642e-01
-4.480000000000000475e-03	2.624704111485485214e+00	-1.733365451501872045e-01
-4.470000000000000015e-03	2.613636309570727789e+00	-1.777228773670516404e-01
-4.460000000000000422e-03	2.621014844180566072e+00	-1.837962604365562247e-01
-4.449999999999999963e-03	2.632082646095323497e+00	-1.834588502660281784e-01
-4.440000000000000370e-03	2.617325576875646931e+00	-1.750235960028273807e-01
-4.430000000000000777e-03	2.617325576875646931e+00	-1.723243146386031210e-01
-4.420000000000000318e-03	2.609947042265808648e+00	-1.713120841270190375e-01
-4.410000000000000725e-03	2.632082646095323497e+00	-1.696250332743788614e-01
-4.400000000000000265e-03	2.613636309570727789e+00	-1.736739553207152509e-01
-4.390000000000000673e-03	2.617325576875646931e+00	-1.831214400955001598e-01
-4.380000000000000213e-03	2.624704111485485214e+00	-1.733365451501872045e-01
-4.370000000000000620e-03	2.609947042265808648e+00	-1.783976977081077053e-01
-4.360000000000000160e-03	2.621014844180566072e+00	-1.810969790723319650e-01
-4.350000000000000568e-03	2.613636309570727789e+00	-1.760358265144114642e-01
-4.340000000000000108e-03	2.624704111485485214e+00	-1.659135213985705182e-01
-4.330000000000000515e-03	2.606257774960888618e+00	-1.726617248091311674e-01
-4.320000000000000055e-03	2.628393378790404356e+00	-1.767106468554675291e-01
-4.310000000000000463e-03	2.628393378790404356e+00	-1.601775484995939525e-01
-4.300000000000000003e-03	2.609947042265808648e+00	-1.743487756617713158e-01
-4.290000000000000410e-03	2.621014844180566072e+00	-1.790725180491637702e-01
-4.279999999999999950e-03	2.639461180705161780e+00	-1.746861858322993344e-01
-4.270000000000000358e-03	2.624704111485485214e+00	-1.756984163438834456e-01
-4.260000000000000765e-03	2.624704111485485214e+00	-1.790725180491637702e-01
-4.250000000000000305e-03	2.632082646095323497e+00	-1.763732366849395106e-01
-4.240000000000000713e-03	2.617325576875646931e+00	-1.770480570259955755e-01
-4.230000000000000253e-03	2.598879240351050335e+00	-1.824466197544440949e-01
-4.220000000000000660e-03	2.643150448010080922e+00	-1.746861858322993344e-01
-4.210000000000000200e-03	2.635771913400242639e+00	-1.807595689018039187e-01
-4.200000000000000608e-03	2.628393378790404356e+00	-1.790725180491637702e-01
-4.190000000000000148e-03	2.595189973046131193e+00	-1.713120841270190375e-01
-4.180000000000000555e-03	2.628393378790404356e+00	-1.794099282196917888e-01
-4.170000000000000095e-03	2.613636309570727789e+00	-1.699624434449069077e-01
-4.160000000000000503e-03	2.613636309570727789e+00	-1.773854671965235941e-01
-4.150000000000000043e-03	2.609947042265808648e+00	-1.810969790723319650e-01
-4.140000000000000450e-03	2.621014844180566072e+00	-1.723243146386031210e-01
-4.129999999999999991e-03	2.602568507655969476e+00	-1.834588502660281784e-01
-4.120000000000000398e-03	2.617325576875646931e+00	-1.861581316302524380e-01
-4.109999999999999938e-03	2.598879240351050335e+00	-1.750235960028273807e-01
-4.100000000000000346e-03	2.632082646095323497e+00	-1.601775484995939525e-01
-4.090000000000000753e-03	2.617325576875646931e+00	-1.760358265144114642e-01
-4.080000000000000293e-03	2.624704111485485214e+00	-1.719869044680751025e-01
-4.070000000000000701e-03	2.621014844180566072e+00	-1.760358265144114642e-01
-4.060000000000000241e-03	2.632082646095323497e+00	-1.810969790723319650e-01
-4.050000000000000648e-03	2.635771913400242639e+00	-1.740113654912432695e-01
-4.040000000000000188e-03	2.613636309570727789e+00	-1.790725180491637702e-01
-4.030000000000000596e-03	2.617325576875646931e+00	-1.770480570259955755e-01
-4.020000000000000136e-03	2.632082646095323497e+00	-1.763732366849395106e-01
-4.010000000000000543e-03	2.606257774960888618e+00	-1.777228773670516404e-01
-4.000000000000000083e-03	2.613636309570727789e+00	-1.794099282196917888e-01
-3.990000000000000491e-03	2.617325576875646931e+00	-1.770480570259955755e-01
-3.980000000000000031e-03	2.598879240351050335e+00	-1.790725180491637702e-01
