# Acquisizione Analog Discovery 2
# Timestamp 2024-11-14 11:20:14
# time	ch1	ch2
-5.000000000000000104e-03	2.580432903826454627e+00	-9.922310290217215556e-01
-4.990000000000000512e-03	2.595189973046131193e+00	-9.976295917501700750e-01
-4.980000000000000052e-03	2.606257774960888618e+00	-9.925684391922495742e-01
-4.970000000000000459e-03	2.584122171131373769e+00	-9.945929002154177967e-01
-4.959999999999999999e-03	2.591500705741212052e+00	-9.929058493627775928e-01
-4.950000000000000407e-03	2.587811438436292910e+00	-9.949303103859458153e-01
-4.940000000000000814e-03	2.569365101911697202e+00	-9.989792324322822603e-01
-4.930000000000000354e-03	2.573054369216616344e+00	-1.006739666354427021e+00
-4.920000000000000762e-03	2.584122171131373769e+00	-9.962799510680580006e-01
-4.910000000000000302e-03	2.595189973046131193e+00	-9.807590832237684797e-01
-4.900000000000000709e-03	2.595189973046131193e+00	-9.918936188511935370e-01
-4.890000000000000249e-03	2.591500705741212052e+00	-9.881821069753852216e-01
-4.880000000000000657e-03	2.576743636521535485e+00	-9.918936188511935370e-01
-4.870000000000000197e-03	2.595189973046131193e+00	-9.986418222617542417e-01
-4.860000000000000604e-03	2.602568507655969476e+00	-9.972921815796420564e-01
-4.850000000000000144e-03	2.584122171131373769e+00	-9.986418222617542417e-01
-4.840000000000000552e-03	2.565675834606778061e+00	-1.007414486695483058e+00
-4.830000000000000092e-03	2.591500705741212052e+00	-9.999914629438663161e-01
-4.820000000000000499e-03	2.587811438436292910e+00	-9.814339035648245169e-01
-4.810000000000000039e-03	2.602568507655969476e+00	-9.939180798743617595e-01
-4.800000000000000447e-03	2.602568507655969476e+00	-9.918936188511935370e-01
-4.789999999999999987e-03	2.587811438436292910e+00	-9.962799510680580006e-01
-4.780000000000000394e-03	2.576743636521535485e+00	-1.001678513796506520e+00
-4.770000000000000802e-03	2.591500705741212052e+00	-1.007414486695483058e+00
-4.760000000000000342e-03	2.591500705741212052e+00	-9.996540527733382975e-01
-4.750000000000000749e-03	2.595189973046131193e+00	-9.790720323711282758e-01
-4.740000000000000289e-03	2.576743636521535485e+00	-9.942554900448897781e-01
-4.730000000000000697e-03	2.598879240351050335e+00	-9.942554900448897781e-01
-4.720000000000000237e-03	2.598879240351050335e+00	-9.935806697038337409e-01
-4.710000000000000644e-03	2.595189973046131193e+00	-1.001003693455450483e+00
-4.700000000000000185e-03	2.595189973046131193e+00	-1.006064846013370984e+00
-4.690000000000000592e-03	2.609947042265808648e+00	-9.972921815796420564e-01
-4.680000000000000132e-03	2.584122171131373769e+00	-9.780598018595442200e-01
-4.670000000000000540e-03	2.587811438436292910e+00	-9.949303103859458153e-01
-4.660000000000000080e-03	2.591500705741212052e+00	-9.949303103859458153e-01
-4.650000000000000487e-03	2.598879240351050335e+00	-9.925684391922495742e-01
-4.640000000000000027e-03	2.606257774960888618e+00	-1.001341103625978501e+00
-4.630000000000000435e-03	2.598879240351050335e+00	-1.000328873114394446e+00
-4.619999999999999975e-03	2.565675834606778061e+00	-9.972921815796420564e-01
-4.610000000000000382e-03	2.602568507655969476e+00	-9.854828256111609619e-01
-4.600000000000000790e-03	2.591500705741212052e+00	-9.915562086806655184e-01
-4.590000000000000330e-03	2.591500705741212052e+00	-1.001003693455450483e+00
-4.580000000000000737e-03	2.576743636521535485e+00	-1.003702974819674854e+00
-4.570000000000000277e-03	2.595189973046131193e+00	-9.983044120912261121e-01
-4.560000000000000685e-03	2.598879240351050335e+00	-9.831209544174647208e-01
-4.550000000000000225e-03	2.576743636521535485e+00	-9.939180798743617595e-01
-4.540000000000000632e-03	2.602568507655969476e+00	-1.002690744308090798e+00
-4.530000000000000172e-03	2.576743636521535485e+00	-1.006402256183899002e+00
-4.520000000000000580e-03	2.598879240351050335e+00	-9.986418222617542417e-01
-4.510000000000000120e-03	2.584122171131373769e+00	-9.817713137353525354e-01
-4.500000000000000527e-03	2.609947042265808648e+00	-9.939180798743617595e-01
-4.490000000000000067e-03	2.584122171131373769e+00	-1.001678513796506520e+00
-4.480000000000000475e-03	2.576743636521535485e+00	-1.006064846013370984e+00
-4.470000000000000015e-03	2.580432903826454627e+00	-9.969547714091140378e-01
-4.460000000000000422e-03	2.584122171131373769e+00	-9.783972120300722386e-01
-4.449999999999999963e-03	2.598879240351050335e+00	-9.949303103859458153e-01
-4.440000000000000370e-03	2.595189973046131193e+00	-9.959425408975299820e-01
-4.430000000000000777e-03	2.591500705741212052e+00	-9.932432595333057224e-01
-4.420000000000000318e-03	2.584122171131373769e+00	-1.001341103625978501e+00
-4.410000000000000725e-03	2.595189973046131193e+00	-1.007077076524955039e+00
-4.400000000000000265e-03	2.595189973046131193e+00	-9.976295917501700750e-01
-4.390000000000000673e-03	2.587811438436292910e+00	-9.918936188511935370e-01
-4.380000000000000213e-03	2.606257774960888618e+00	-9.898691578280253145e-01
-4.370000000000000620e-03	2.587811438436292910e+00	-9.780598018595442200e-01
-4.360000000000000160e-03	2.587811438436292910e+00	-9.891943374869692773e-01
-4.350000000000000568e-03	2.584122171131373769e+00	-9.908813883396094813e-01
-4.340000000000000108e-03	2.591500705741212052e+00	-9.912187985101374998e-01
-4.330000000000000515e-03	2.584122171131373769e+00	-9.996540527733382975e-01
-4.320000000000000055e-03	2.598879240351050335e+00	-1.006739666354427021e+00
-4.310000000000000463e-03	2.584122171131373769e+00	-9.969547714091140378e-01
-4.300000000000000003e-03	2.569365101911697202e+00	-9.767101611774321457e-01
-4.290000000000000410e-03	2.587811438436292910e+00	-9.945929002154177967e-01
-4.279999999999999950e-03	2.576743636521535485e+00	-9.972921815796420564e-01
-4.270000000000000358e-03	2.591500705741212052e+00	-1.007077076524955039e+00
-4.260000000000000765e-03	2.576743636521535485e+00	-9.945929002154177967e-01
-4.250000000000000305e-03	2.595189973046131193e+00	-9.814339035648245169e-01
-4.240000000000000713e-03	2.587811438436292910e+00	-9.929058493627775928e-01
-4.230000000000000253e-03	2.591500705741212052e+00	-9.999914629438663161e-01
-4.220000000000000660e-03	2.598879240351050335e+00	-1.007077076524955039e+00
-4.210000000000000200e-03	2.573054369216616344e+00	-9.972921815796420564e-01
-4.200000000000000608e-03	2.587811438436292910e+00	-9.831209544174647208e-01
-4.190000000000000148e-03	2.561986567301858031e+00	-9.929058493627775928e-01
-4.180000000000000555e-03	2.595189973046131193e+00	-9.925684391922495742e-01
-4.170000000000000095e-03	2.580432903826454627e+00	-9.959425408975299820e-01
-4.160000000000000503e-03	2.580432903826454627e+00	-1.001678513796506520e+00
-4.150000000000000043e-03	2.595189973046131193e+00	-9.942554900448897781e-01
-4.140000000000000450e-03	2.598879240351050335e+00	-9.983044120912261121e-01
-4.129999999999999991e-03	2.591500705741212052e+00	-9.986418222617542417e-01
-4.120000000000000398e-03	2.595189973046131193e+00	-9.969547714091140378e-01
-4.109999999999999938e-03	2.591500705741212052e+00	-9.949303103859458153e-01
-4.100000000000000346e-03	2.591500705741212052e+00	-9.999914629438663161e-01
-4.090000000000000753e-03	2.584122171131373769e+00	-9.983044120912261121e-01
-4.080000000000000293e-03	2.591500705741212052e+00	-9.841331849290487765e-01
-4.070000000000000701e-03	2.584122171131373769e+00	-9.929058493627775928e-01
-4.060000000000000241e-03	2.573054369216616344e+00	-9.983044120912261121e-01
-4.050000000000000648e-03	2.584122171131373769e+00	-1.001003693455450483e+00
-4.040000000000000188e-03	2.591500705741212052e+00	-9.959425408975299820e-01
-4.030000000000000596e-03	2.580432903826454627e+00	-9.996540527733382975e-01
-4.020000000000000136e-03	2.591500705741212052e+00	-9.979670019206980935e-01
-4.010000000000000543e-03	2.576743636521535485e+00	-9.939180798743617595e-01
-4.000000000000000083e-03	2.595189973046131193e+00	-9.952677205564738339e-01
-3.990000000000000491e-03	2.576743636521535485e+00	-9.986418222617542417e-01
-3.980000000000000031e-03	2.580432903826454627e+00	-9.972921815796420564e-01
-3.970000000000000438e-03	2.591500705741212052e+00	-1.000666283284922464e+00
-3.959999999999999978e-03	2.584122171131373769e+00	-9.942554900448897781e-01
-3.950000000000000386e-03	2.602568507655969476e+00	-9.986418222617542417e-01
-3.939999999999999926e-03	2.591500705741212052e+00	-1.006402256183899002e+00
-3.930000000000000333e-03	2.602568507655969476e+00	-1.001341103625978501e+00
-3.920000000000000741e-03	2.580432903826454627e+00	-1.007751896866011077e+00
-3.910000000000000281e-03	2.595189973046131193e+00	-1.000666283284922464e+00
-3.900000000000000255e-03	2.598879240351050335e+00	-1.004377795160730891e+00
-3.890000000000000228e-03	2.569365101911697202e+00	-9.989792324322822603e-01
-3.880000000000000202e-03	2.591500705741212052e+00	-9.939180798743617595e-01
-3.870000000000000176e-03	2.584122171131373769e+00	-9.999914629438663161e-01
-3.860000000000000150e-03	2.587811438436292910e+00	-9.952677205564738339e-01
-3.850000000000000124e-03	2.569365101911697202e+00	-9.959425408975299820e-01
-3.840000000000000531e-03	2.584122171131373769e+00	-9.956051307270018524e-01
-3.830000000000000505e-03	2.598879240351050335e+00	-9.878446968048572030e-01
-3.820000000000000479e-03	2.598879240351050335e+00	-9.932432595333057224e-01
