# Acquisizione Analog Discovery 2
# Timestamp 2024-11-26 12:10:12
# time	ch1	ch2
-5.000000000000000104e-03	-1.312201153175169242e-02	4.980424323621724270e+00
-4.990000000000000512e-03	5.070688334646922257e+00	-8.712134123551855402e-02
-4.980000000000000052e-03	5.081756136561680570e+00	-9.823437997424057377e-02
-4.970000000000000459e-03	5.074377601951841399e+00	-8.712134123551855402e-02
-4.959999999999999999e-03	5.063309800037083974e+00	-7.230395625055585640e-02
-4.950000000000000407e-03	5.033795661597730842e+00	-4.637353252687112515e-02
-4.940000000000000814e-03	5.030106394292810812e+00	-3.526049378814910540e-02
-4.930000000000000354e-03	5.022727859682972529e+00	-4.266918628063045421e-02
-4.920000000000000762e-03	5.000592255853457679e+00	-2.785180129566775312e-02
-4.910000000000000302e-03	5.026417126987891670e+00	-3.155614754190842752e-02
-4.900000000000000709e-03	4.996902988548538538e+00	-3.526049378814910540e-02
-4.890000000000000249e-03	4.993213721243619396e+00	-2.785180129566775312e-02
-4.880000000000000657e-03	5.004281523158376821e+00	-1.303441631070505376e-02
-4.870000000000000197e-03	5.000592255853457679e+00	-1.673876255694572990e-02
-4.860000000000000604e-03	4.993213721243619396e+00	-9.330070064464379351e-03
-4.850000000000000144e-03	5.000592255853457679e+00	1.782968674257645603e-03
-4.840000000000000552e-03	5.030106394292810812e+00	-2.785180129566775312e-02
-4.830000000000000092e-03	5.015349325073134246e+00	-1.673876255694572990e-02
-4.820000000000000499e-03	4.996902988548538538e+00	-1.303441631070505376e-02
-4.810000000000000039e-03	4.993213721243619396e+00	5.487314920498320009e-03
-4.800000000000000447e-03	5.004281523158376821e+00	-1.921377571983029237e-03
-4.789999999999999987e-03	5.007970790463295963e+00	-1.303441631070505376e-02
-4.780000000000000394e-03	4.982145919328861083e+00	-9.330070064464379351e-03
-4.770000000000000802e-03	5.004281523158376821e+00	9.191661166738994415e-03
-4.760000000000000342e-03	5.007970790463295963e+00	-1.303441631070505376e-02
-4.750000000000000749e-03	5.000592255853457679e+00	-5.625723818223704077e-03
-4.740000000000000289e-03	5.011660057768215104e+00	-2.044310880318640430e-02
-4.730000000000000697e-03	5.000592255853457679e+00	5.487314920498320009e-03
-4.720000000000000237e-03	4.985835186633781113e+00	-1.303441631070505376e-02
-4.710000000000000644e-03	5.007970790463295963e+00	-5.625723818223704077e-03
-4.700000000000000185e-03	4.978456652023941942e+00	-5.625723818223704077e-03
-4.690000000000000592e-03	4.996902988548538538e+00	-3.155614754190842752e-02
-4.680000000000000132e-03	5.007970790463295963e+00	-2.785180129566775312e-02
-4.670000000000000540e-03	4.985835186633781113e+00	-5.625723818223704077e-03
-4.660000000000000080e-03	5.004281523158376821e+00	-9.330070064464379351e-03
-4.650000000000000487e-03	4.985835186633781113e+00	-2.785180129566775312e-02
-4.640000000000000027e-03	4.993213721243619396e+00	-1.303441631070505376e-02
-4.630000000000000435e-03	4.982145919328861083e+00	-1.303441631070505376e-02
-4.619999999999999975e-03	5.004281523158376821e+00	-1.921377571983029237e-03
-4.610000000000000382e-03	5.000592255853457679e+00	-5.625723818223704077e-03
-4.600000000000000790e-03	4.993213721243619396e+00	-9.330070064464379351e-03
-4.590000000000000330e-03	4.993213721243619396e+00	-2.044310880318640430e-02
-4.580000000000000737e-03	5.007970790463295963e+00	-9.330070064464379351e-03
-4.570000000000000277e-03	4.996902988548538538e+00	-3.155614754190842752e-02
-4.560000000000000685e-03	4.982145919328861083e+00	-3.155614754190842752e-02
-4.550000000000000225e-03	4.996902988548538538e+00	-5.625723818223704077e-03
-4.540000000000000632e-03	4.978456652023941942e+00	-2.414745504942707871e-02
-4.530000000000000172e-03	5.011660057768215104e+00	-1.921377571983029237e-03
-4.520000000000000580e-03	4.989524453938700255e+00	-5.625723818223704077e-03
-4.510000000000000120e-03	5.015349325073134246e+00	-9.330070064464379351e-03
-4.500000000000000527e-03	4.993213721243619396e+00	-2.414745504942707871e-02
-4.490000000000000067e-03	-6.108248649570145739e-02	9.191661166738994415e-03
-4.480000000000000475e-03	-6.477175380062066834e-02	-1.921377571983029237e-03
-4.470000000000000015e-03	-6.846102110553987929e-02	-1.673876255694572990e-02
-4.460000000000000422e-03	-5.370395188586302854e-02	-1.921377571983029237e-03
-4.449999999999999963e-03	-4.263614997110538873e-02	-2.414745504942707871e-02
-4.440000000000000370e-03	-3.894688266618617778e-02	-2.414745504942707871e-02
-4.430000000000000777e-03	-1.312201153175169242e-02	-5.625723818223704077e-03
-4.420000000000000318e-03	-1.312201153175169242e-02	-1.303441631070505376e-02
